Alabama,0.77
Alabama,0.77
Alaska,0.45
Alaska,0.45
Arizona,0.53
Arizona,0.53
Arkansas,0.7
Arkansas,0.7
California,0.49
California,0.49
Colorado,0.47
Colorado,0.47
Connecticut,0.43
Connecticut,0.43
Delaware,0.52
Delaware,0.52
District of Columbia,0.53
District of Columbia,0.53
Florida,0.54
Florida,0.54
Georgia,0.66
Georgia,0.66
Hawaii,0.47
Hawaii,0.47
Idaho,0.51
Idaho,0.51
Illinois,0.51
Illinois,0.51
Indiana,0.54
Indiana,0.54
Iowa,0.55
Iowa,0.55
Kansas,0.55
Kansas,0.55
Kentucky,0.63
Kentucky,0.63
Louisiana,0.71
Louisiana,0.71
Maine,0.34
Maine,0.34
Maryland,0.54
Maryland,0.54
Massachusetts,0.33
Massachusetts,0.33
Michigan,0.53
Michigan,0.53
Minnesota,0.49
Minnesota,0.49
Mississippi,0.77
Mississippi,0.77
Missouri,0.6
Missouri,0.6
Montana,0.48
Montana,0.48
Nebraska,0.54
Nebraska,0.54
Nevada,0.49
Nevada,0.49
New Hampshire,0.33
New Hampshire,0.33
New Jersey,0.55
New Jersey,0.55
New Mexico,0.57
New Mexico,0.57
New York,0.46
New York,0.46
North Carolina,0.65
North Carolina,0.65
North Dakota,0.53
North Dakota,0.53
Ohio,0.58
Ohio,0.58
Oklahoma,0.66
Oklahoma,0.66
Oregon,0.48
Oregon,0.48
Pennsylvania,0.53
Pennsylvania,0.53
Rhode Island,0.49
Rhode Island,0.49
South Carolina,0.7
South Carolina,0.7
South Dakota,0.59
South Dakota,0.59
Tennessee,0.73
Tennessee,0.73
Texas,0.64
Texas,0.64
Utah,0.64
Utah,0.64
Vermont,0.34
Vermont,0.34
Virginia,0.61
Virginia,0.61
Washington,0.45
Washington,0.45
West Virginia,0.69
West Virginia,0.69
Wisconsin,0.45
Wisconsin,0.45
Wyoming,0.54
Wyoming,0.54